<t underline = true>АГС-30<br /><br />
Таблица стрельбы<br /></t><br />
Д, м    П, дел.<br />
100		0-08<br />
150		0-09<br />
200		0-16<br />
250		0-26<br />
300		0-38<br />
350		0-50<br />
400		0-61<br />
450		0-72<br />
500		0-82<br />
550		0-91<br />
600		1-00<br />
650		1-09<br />
700		1-19<br />
750		1-30<br />
800		1-41<br />
850		1-55<br />
900		1-69<br />
950		1-85<br />
1000	2-02<br />
1050	2-20<br />
1100	2-39<br />
1150	2-57<br />
1200	2-76<br />
1250	2-95<br />
1300	3-14<br />
1350	3-33<br />
1400	3-54<br />
1450	3-78<br />
1500	4-07<br />
1550	4-43<br />
1600	4-92<br />
1650	5-58<br />
1700	6-48<br />
-------------<br />
1100	12-24<br />
1150	11-80<br />
1200	11-36<br />
1250	10-95<br />
1300	10-54<br />
1350	10-14<br />
1400	9-73<br />
1450	9-32<br />
1500	8-90<br />
1550	8-48<br />
1600	8-07<br />
1650	7-66<br />
1700	7-21<br />
